"00:02:37:00,00:02:40:02,ERZAEHLER,1,speech,regular,AND,""Er legt die Feder hinein, schließt den Koffer und stellt ihn neben sich."",";;;;;
00:02:41:24,00:02:44:06,ERZAEHLER,1,speech,regular,HS,Der Mann schaut mit ernstem Gesicht in Leere.,;;;;;
00:02:46:01,00:02:47:01,ERZAEHLER,1,speech,regular,HS,Ein Linienbus hält.,;;;;;
00:02:51:14,00:02:55:03,ERZAEHLER,1,speech,regular;addendum,none,Darauf eine Werbung für ein neues Automodell von 1981.,;;;;
00:02:58:17,00:03:00:10,ERZAEHLER,1,speech,regular,HS,Der Mann öffnet die Pralinenschachtel.,;;;;;
00:03:00:20,00:03:04:03,ERZAEHLER,1,speech,regular,HS,Eine schwarze Frau in Schwesterntracht setzt sich zu ihm auf die Bank.,;;;;;
00:03:04:19,00:03:06:12,ERZAEHLER,1,speech,regular,HS,Schnell macht der Mann die Schachtel wieder zu.,;;;;;
00:03:07:01,00:03:08:24,ERZAEHLER,1,speech,regular,HS,Die Krankenschwester blickt in eine Zeitschrift.,;;;;;
00:03:09:23,00:03:10:06,FORREST,1,speech,regular,address,Hallo,;;;;;
"00:03:11:20,00:03:13:23,FORREST,1,speech,regular,HS,""Mein Name ist Forrest, Forrest Gump."",";;;;;
"00:03:14:11,00:03:16:19,ERZAEHLER,1,speech,regular,AND,""Die Schwester sieht kurz hoch, nickt und liest weiter. "",";;;;;
00:03:17:04,00:03:19:12,ERZAEHLER,1,speech,regular,HS,Forrest hält ihr die geöffnete Pralinenschachtel hin.,;;;;;
00:03:19:22,00:03:21:00,FORREST,1,speech,regular,question,Möchten Sie eine Praline?,;;;;;
00:03:22:02,00:03:22:24,ERZAEHLER,1,speech,regular,HS,Sie schüttelt den Kopf.,;;;;;
"00:03:24:08,00:03:26:24,FORREST,1,speech,regular,HS,ACI,""Ich glaub, ich könnte sie pfundweise essen."",";;;;;
00:03:28:20,00:03:30:14,FORREST,1,speech,regular,HS,Meine Mama hat immer gesagt:,;;;;;
00:03:30:21,00:03:33:19,FORREST,1,speech,regular,HS,Das Leben ist wie eine Schachtel Pralinen.,direkte Rede;;;;;
00:03:34:05,00:03:35:10,ERZAEHLER,1,speech,regular,HS,Er steckt sich eine in den Mund.,;;;;;
00:03:35:20,00:03:37:08,FORREST,1,speech,regular,HS;"ACI,""Man weiß nie, was man kriegt."",direkte Rede";;;;
00:03:38:02,00:03:39:06,ERZAEHLER,1,speech,regular,HS,Die Schwester reagiert nicht.,;;;;;
00:03:41:04,00:03:43:11,ERZAEHLER,1,speech,regular,HS,Forrest zeigt auf ihre strahlend weißen Halbschuhe.,;;;;;
00:03:44:03,00:03:44:11,FORREST,1,non,regular,none,mhm,;;;;;
00:03:45:06,00:03:47:01,FORREST,1,speech,regular,HS,Das müssen ja bequeme Schuhe sein.,;;;;;
00:03:47:16,00:03:47:19,FORREST,1,non,regular,none,mhm,;;;;;
00:03:49:00,00:03:52:19,FORREST,1,speech,regular,HS;"NS,""Ich wette, in den Schuhen kann man den ganzen Tag rumlaufen und spürt gar nichts."",";;;;
00:03:53:06,00:03:53:10,FORREST,1,non,regular,none,hm,;;;;;
00:03:55:19,00:03:57:13,FORREST,1,speech,regular,HS;"NS,""Ich wünschte, ich hätte solche Schuhe."",";;;;
00:03:58:18,00:03:59:17,BLACK WOMAN,1,speech,regular,HS,Meine Füße tun weh.,;;;;;
00:04:01:03,00:04:01:05,FORREST,1,non,regular,none,tzm,;;;;;
00:04:01:08,00:04:02:09,FORREST,1,speech,regular,HS,Mama sagte immer:,;;;;;
00:04:02:11,00:04:05:04,FORREST,1,speech,regular,HS,Schuhe können dir über einen Menschen ganz schön viel erzählen.,direkte Rede;;;;;
00:04:07:00,00:04:07:23,FORREST,1,speech,regular,NS,Wohin sie gehen…,direkte Rede;;;;;
00:04:08:15,00:04:09:20,FORREST,1,speech,regular,NS,Wo sie gewesen sind.,direkte Rede;;;;;
00:04:11:19,00:04:14:14,ERZAEHLER,1,speech,regular,HS,Interessiert sieht die Schwester von ihrem People-Magazine zu ihm.,;;;;;
00:04:16:23,00:04:19:05,FORREST,1,speech,regular,HS,Ich hab schon sehr viele Schuhe angehabt.,;;;;;
00:04:21:19,00:04:25:19,FORREST,1,speech,regular,NS;"HS,""Wenn ich mich richtig anstrenge, kann ich mich bestimmt an mein erstes Paar Schuhe erinnern."",";;;;
00:04:26:14,00:04:28:03,ERZAEHLER,1,speech,regular,HS,Er kneift die Augen fest zu.,;;;;;
00:04:29:06,00:04:31:20,FORREST,1,speech,regular,HS;"NS,""Mama hat gesagt, ich kann damit überall hingehen."",indirekte Rede";;;;
00:04:32:07,00:04:35:03,FORREST (V.O.),1,speech,regular,HS;"NS,""Sie hat gesagt, es sind meine Zauberschuhe."",indirekte Rede";;;;
"00:04:35:04,00:04:36:01,DOCTOR,1,speech,regular,address,""Ok, Forrest"",";;;;;
00:04:36:04,00:04:36:17,ERZAEHLER,1,speech,regular,none,Ein Arzt,;;;;;
00:04:36:20,00:04:38:03,DOCTOR,1,speech,regular,HS,Kannst deine Augen wieder aufmachen.,;;;;;
00:04:38:09,00:04:42:22,ERZAEHLER,1,speech,regular,AND;"relativ,""Der etwa 10-jährige sitzt auf einer Liege und starrt auf seine Beine, an die Metallschienen geschnallt sind."",";;;;
00:04:43:09,00:04:44:16,ERZAEHLER,1,speech,regular,HS,Der dicke Arzt hebt ihn runter.,;;;;;
00:04:45:23,00:04:47:13,DOCTOR,1,speech,regular,HS,So und jetzt gehen wir mal ein bisschen.,;;;;;
00:04:48:16,00:04:52:18,ERZAEHLER,1,speech,regular,HS;"relativ,""Mit steifen Knien stakst der Junge an einer Dunkelhaarigen vorbei, die auf einem Stuhl sitzt."",";;;;
00:04:54:02,00:04:55:01,DOCTOR,1,speech,regular,question,Wie fühlen sie sich an?,;;;;;
00:04:55:19,00:04:58:00,ERZAEHLER,1,speech,regular,HS,Der Arzt hat eine brennende Zigarette im Mundwinkel.,;;;;;
00:04:58:14,00:04:59:20,DOCTOR,1,speech,regular,HS,Er hat kräftige Beine.,;;;;;
00:04:59:21,00:05:00:10,DOCTOR,1,speech,regular,address,Misses Gump,;;;;;
00:05:00:22,00:05:03:04,DOCTOR,1,speech,regular;addendum,NS,Genau so kräftige wie alle anderen Kinder.,;;;;
00:05:03:21,00:05:06:16,DOCTOR,1,speech,regular;addendum,NS,Aber dafür hat er ein Rückrat wie ein Politiker.,;;;;
00:05:06:24,00:05:07:04,MRS. GUMP,1,non,regular,none,huuuh,;;;;;
00:05:07:08,00:05:09:12,DOCTOR,1,speech,regular,HS,Wir werden schon einen aufrechten Kerl aus ihm machen.,;;;;;
"00:05:09:15,00:05:10:05,DOCTOR,1,speech,asking,address,""Was, Forrest?"",";;;;;
00:05:10:19,00:05:12:03,ERZAEHLER,1,speech,regular,HS,Der kippt um.,;;;;;
00:05:12:16,00:05:19:04,FORREST (V.O.),1,speech,regular,NS;"HS,""Als ich ein Baby war, hat Mama mich nach dem berühmten Helden aus dem Bürgerkrieg General Nathan Bedford Forrest genannt."",";;;;
00:05:19:08,00:05:45:23,OST,0,song,instrumental,instrumental,,#Ende#;;;;;
00:05:19:20,00:05:21:16,FORREST (V.O.),1,speech,regular,HS;"NS,""Sie sagt, wir sind irgendwie verwandt."",indirekte Rede";;;;
00:05:21:17,00:05:22:03,ERZAEHLER,1,speech,regular,none;"relativ,""Ein alter Film vom General, der aussieht wie Forrest."",";;;;
00:05:22:04,00:05:23:11,FORREST (V.O.),1,speech,asking,question,Und was hat der gemacht?,#imovie#;;;;;
00:05:23:21,00:05:25:14,FORREST (V.O.),1,speech,regular,HS,Er hat einen Verein gegründet.,;;;;;
00:05:25:21,00:05:27:10,FORREST (V.O.),1,speech,regular,HS,Der heißt Ku-Klux-Klan.,;;;;;
"00:05:27:24,00:05:33:18,FORREST (V.O.),1,speech,regular,AND,""Da verkleiden sich alle mit langen Kleidern, mit Betttüchern und tun so als wären sie Geister oder Gespenster, oder so."",";;;;;
00:05:34:16,00:05:38:01,FORREST (V.O.),1,speech,regular,AND,Die decken sogar Betttücher über ihre Pferde und reiten dann damit rum.,;;;;;
"00:05:38:21,00:05:39:16,FORREST (V.O.),1,speech,regular,none,""Na,jedenfalls…"",";;;;;
00:05:40:05,00:05:42:10,FORREST (V.O.),1,speech,regular,HS,So hab ich meinen Namen gekriegt: Forrest Gump.,;;;;;
00:05:43:05,00:05:44:03,FORREST (V.O.),1,speech,regular,HS,Mama hat gesagt:,;;;;;
"00:05:44:06,00:05:48:14,FORREST (V.O.),1,speech,regular,###,""Der Name Forrest soll mich immer daran erinnern, dass wir manchmal Sachen tun,..."",";;;;;
00:05:47:15,00:06:14:06,HANK WILLIAMS,0,song,regular,foreign,“Lovesick Blues”,#schiebt sich zw. “...”#;;;;;
00:05:49:02,00:05:50:06,FORREST (V.O.),1,speech,regular,relativ,...die nicht viel Sinn ergeben.,;;;;;
00:05:50:16,00:05:51:09,ERZAEHLER,1,speech,regular,none,Auf einer Straße,;;;;;
00:05:51:15,00:05:55:11,ERZAEHLER,1,speech,regular,HS,An der Hand seiner Mutter bleibt der kleine Forrest mit einer Schiene in einem Gully-Gitter stecken.,;;;;;
00:05:55:15,00:05:56:10,MRS. GUMP,0,speech,regular,HS,Ich krieg das da raus.,#timing#;;;;;
00:05:56:16,00:05:57:00,MRS. GUMP,0,speech,commanding,imperative,Lass mich!,;;;;;
00:05:57:01,00:05:57:23,MRS. GUMP,0,speech,regular,HS,Ich mach das.,;;;;;
00:05:58:01,00:05:58:24,MRS. GUMP,0,speech,asking,question,Siehst du?,###movie; erzähler ist drüben###;;;;
00:05:59:01,00:05:59:22,MRS. GUMP,0,speech,regular,HS,...geht doch da raus.,;;;;;
"00:06:00:01,00:06:01:18,MRS. GUMP,0,speech,commanding,imperative,""noch anders, warte, warte!"",";;;;;
00:06:02:13,00:06:02:20,MRS. GUMP,1,non,regular,none,hum,;;;;;
00:06:03:16,00:06:05:09,ERZAEHLER,1,speech,regular,none,Zu zwei Männer vor einem Friseurladen,;;;;;
00:06:05:21,00:06:06:19,MRS. GUMP,1,speech,asking,question,Was guckt ihr denn so?,#movie#;;;;;
00:06:07:17,00:06:10:05,MRS. GUMP,1,speech,asking,question,Habt ihr etwa noch nie nen Jungen mit Schienen an den Beinen gesehen?,;;;;;
00:06:13:02,00:06:16:04,MRS. GUMP,1,speech,regular,imperative;NS;"address,""Lass dir nur ja von niemandem einreden, er wäre was besseres als du, Forrest!"",";;;
"00:06:16:23,00:06:19:05,MRS. GUMP,1,speech,regular,###,""Wenn Gott gewollt hätte, dass alle Menschen gleich wären,..."",";;;;;
00:06:19:17,00:06:21:14,MRS. GUMP,1,speech,regular;addendum,###,...dann würden wir heute alle Beinschienen tragen.,;;;;
00:06:21:15,00:06:25:13,FORREST (V.O.),1,speech,regular,HS;"NS,""Mama konnte immer alle Sachen so erklären, dass ich sie verstehen konnte."",";;;;
00:06:25:18,00:07:12:21,OST,0,song,instrumental,instrumental,,;;;;;
00:06:26:07,00:06:29:04,FORREST (V.O.),1,speech,regular,HS,Wir wohnten in der Nähe von der Straße Nummer 17.,;;;;;
00:06:29:16,00:06:33:00,FORREST (V.O.),1,speech,regular;"addendum,none,""Ungefähr eine halbe Meile entfernt von der Stadt Greenbow, Alabama."",";;;;
00:06:33:06,00:06:34:14,FORREST (V.O.),1,speech,regular;addendum,HS,Das ist in Greenbow County.,;;;;
00:06:35:21,00:06:42:09,FORREST (V.O.),1,speech,regular,HS;"NS,""Unser Haus gehörte Mamas Familie, seitdem der Opa vom Opa ihres Opas vor tausend Jahren oder so übers Meer gekommen war."",";;;;
00:06:42:21,00:06:46:07,FORREST (V.O.),1,speech,regular,AND,Es gab nur Mama und mich und wir hatten eine Menge leere Zimmer.,;;;;;
00:06:46:23,00:06:49:10,FORREST (V.O.),1,speech,regular,HS;"NS,""Deswegen hatte Mama beschlossen, diese Zimmer zu vermieten."",";;;;
00:06:49:15,00:06:51:15,FORREST (V.O.),1,speech,regular;addendum,none;"relativ,""Meistens an Leute, die auf der Durchreise waren."",";;;
00:06:51:16,00:06:54:16,FORREST (V.O.),1,speech,regular;"addendum,none,""Leute aus Moville, Montgomery und solchen Städten."",";;;;
00:06:55:06,00:06:56:15,FORREST (V.O.),1,speech,regular;addendum,HS,Auf die Weise haben wir Geld verdient.,;;;;
00:06:56:16,00:06:57:22,ERZAEHLER,1,speech,regular,HS,Sie steuern aufs Haus zu.,;;;;;
00:06:58:00,00:07:00:00,FORREST (V.O.),1,speech,regular,HS,Mama war eine richtig schlaue Lady.,;;;;;
00:07:00:14,00:07:02:08,MRS. GUMP,1,speech,commanding,imperative;"NS,""Denk immer an das, was ich dir gesagt habe!"",";;;;
00:07:02:09,00:07:02:18,MRS. GUMP,,speech,regular,address,Forrest!,;;;;;
00:07:02:24,00:07:04:20,MRS. GUMP,1,speech,regular,HS,Du bist nicht anders als die anderen.,;;;;;
00:07:05:02,00:07:06:21,ERZAEHLER,1,speech,regular,HS,Vor der breiten Veranda bleiben sie stehen.,;;;;;
00:07:07:17,00:07:09:15,MRS. GUMP,1,speech,asking,question;NS;"address,""Hast du gehört, was ich gesagt habe, Forrest?"",";;;
00:07:10:04,00:07:12:05,MRS. GUMP,1,speech,regular,HS,Du bist genau so wie alle anderen Menschen auch.,;;;;;
00:07:12:13,00:07:14:01,MRS. GUMP,1,speech,regular,HS,Du bist nicht anders als die anderen.,;;;;;
00:07:14:02,00:07:14:15,ERZAEHLER,1,speech,regular,none,Ein Büro,;;;;;
00:07:14:16,00:07:15:14,HANCOCK,1,speech,regular,HS,Ihr Sohn ist...,;;;;;
00:07:16:12,00:07:17:03,HANCOCK,1,speech,regular,none,...anders.,;;;;;
00:07:17:08,00:07:18:07,HANCOCK,1,speech,regular,address,Misses Gump,;;;;;
00:07:18:17,00:07:21:07,HANCOCK,1,speech,regular,HS,Sein Intelligenzquotient beträgt 75.,;;;;;
00:07:21:14,00:07:21:23,MRS. GUMP,1,speech,regular,none,Nun ja,;;;;;
00:07:21:24,00:07:23:12,MRS. GUMP,1,speech,regular,HS,Kein Mensch ist wie der andere.,;;;;;
00:07:23:21,00:07:24:16,MRS. GUMP,1,speech,regular,address,Mr. Hancock,;;;;;
00:07:25:01,00:07:25:06,HANCOCK,1,non,regular,none,huuuh,;;;;;
00:07:25:14,00:07:27:18,ERZAEHLER,1,speech,regular,HS,Forrest sitzt neben der offenen Tür im Schulflur.,;;;;;
00:07:28:02,00:07:30:13,FORREST (V.O.),1,speech,regular,HS;"NS,""Sie wollte, dass ich die beste Schulbildung bekomme."",";;;;
00:07:30:15,00:07:33:19,FORREST (V.O.),1,speech,regular;addendum,HS,Deshalb ging sie mit mir zur Greenbow County Central School.,;;;;
00:07:34:01,00:07:36:10,FORREST (V.O.),1,speech,regular;addendum,HS,Da lernte ich sogar den Schulleiter kennen und alle.,;;;;
00:07:36:22,00:07:38:16,HANCOCK,1,speech,regular,HS,Ich möchte Ihnen mal etwas zeigen.,;;;;;
00:07:38:18,00:07:39:10,HANCOCK,1,speech,regular,address,Misses Gump,;;;;;
00:07:39:22,00:07:40:21,HANCOCK,1,speech,regular,incomplete,Also das hier...,;;;;;
00:07:41:07,00:07:42:01,HANCOCK,1,speech,regular,completion,...ist normal.,;;;;;
00:07:42:20,00:07:44:05,HANCOCK,1,speech,regular;addendum,HS,Und Forrest ist...,;;;;
00:07:44:20,00:07:46:12,HANCOCK,1,speech,regular,none,...genau hier.,;;;;;
00:07:46:17,00:07:51:10,HANCOCK,1,speech,regular,HS,Vorschrift für den Besuch eine staatlichen Schule ist ein Intelligenzquotient von mindestens 80.,;;;;;
00:07:51:12,00:07:52:06,HANCOCK,1,speech,regular,address,Misses Gump,;;;;;
00:07:53:02,00:07:55:08,HANCOCK,1,speech,regular,HS,Ihr Sohn muss auf eine Sonderschule gehen.,;;;;;
00:07:55:12,00:07:57:03,HANCOCK,1,speech,regular;addendum,HS,Da wird ers auf jedenfall schaffen.,;;;;
00:07:58:19,00:08:00:17,MRS. GUMP,1,speech,asking,question,Was hat normal schon zu bedeuten?,;;;;;
00:08:00:20,00:08:00:24,MRS. GUMP,1,non,regular,none,hach,;;;;;
00:08:01:00,00:08:02:02,MRS. GUMP,1,speech,regular,incomplete,Er mag ja vielleicht...,;;;;;
00:08:02:03,00:08:02:08,MRS. GUMP,1,non,regular,none,äh,;;;;;
00:08:02:19,00:08:04:01,MRS. GUMP,1,speech,regular,completion,...ein bisschen langsam sein.,;;;;;
00:08:05:06,00:08:09:00,MRS. GUMP,1,speech,regular;addendum,HS;"NS,""Aber ich verlange, dass mein Sohn Forrest die selben Chancen erhält wie andere auch."",";;;
00:08:09:01,00:08:12:22,MRS. GUMP,1,speech,regular,HS;NS;"NS2,""Er soll nicht auf eine Sonderschule gehen, nur um zu lernen, wie man Flaschen sortiert."",";;;
00:08:13:11,00:08:15:22,MRS. GUMP,1,speech,regular,HS,Es geht um fünf winzige Punkte unter dem Durchschnitt.,;;;;;
00:08:18:00,00:08:19:23,MRS. GUMP,1,speech,asking,question,Da wird sich doch eine Möglichkeit finden lassen?,;;;;;
00:08:21:22,00:08:24:07,HANCOCK,1,speech,regular,HS,Wir haben ein progressives Schulsystem.,;;;;;
00:08:25:00,00:08:27:04,HANCOCK,1,speech,regular,HS;"NS,""Wir möchten nicht, dass jemand zurück bleibt."",";;;;
00:08:28:15,00:08:29:19,HANCOCK,1,speech,asking,question,Gibt's einen Mister Gump?,;;;;;
00:08:30:07,00:08:31:10,HANCOCK,1,speech,regular,address,Misses Gump,;;;;;
00:08:32:02,00:08:33:20,ERZAEHLER,1,speech,regular,HS,Hancock mustert sie lüstern.,;;;;;
00:08:35:01,00:08:36:09,MRS. GUMP,1,speech,regular,HS,Er macht Ferien.,;;;;;
00:08:36:22,00:08:36:23,HANCOCK,1,non,regular,none,eeeheeeheeeheeeheeheeeeeeeeh,;;;;;
00:08:37:00,00:08:37:10,ERZAEHLER,1,speech,regular,none,Abends,;;;;;
00:08:37:22,00:08:39:04,HANCOCK,1,non,regular,none,eeheeheeheeh,;;;;;
00:08:39:05,00:08:42:00,ERZAEHLER,1,speech,regular,AND,Forrest sitzt vor dem Haus auf einer Schaukel und blickt zu Boden. ,;;;;;
00:08:42:16,00:08:43:22,ERZAEHLER,1,speech,regular,HS,Im ersten Stock brennt Licht.,;;;;;
00:08:47:22,00:08:50:06,ERZAEHLER,1,speech,regular,HS,Verschwitzt kommt Hancock aus dem Haus auf die Veranda.,;;;;;
00:08:50:09,00:08:52:20,ERZAEHLER,1,speech,regular,HS,Dort sitzt Forrest teilnahmslos in einem Schaukelstuhl.,;;;;;
00:08:53:11,00:08:55:23,HANCOCK,1,speech,regular,HS,Deiner Mutter liegt wirklich ne Menge an deiner Einschulung.,;;;;;
00:08:55:24,00:08:56:07,HANCOCK,1,speech,regular,address,Junge,;;;;;
00:08:56:21,00:08:57:11,HANCOCK,1,non,regular,none,mh mh mhhh,;;;;;
00:08:57:13,00:09:00:17,ERZAEHLER,1,speech,regular,AND,Mit einem Taschentuch wischt er sich über den Hals und sieht zu Forrest.,;;;;;
00:09:01:01,00:09:02:02,ERZAEHLER,1,speech,regular,HS,Der starrt ins Leere.,;;;;;
"00:09:02:11,00:09:04:02,HANCOCK,1,speech,asking,question,""Du redest nicht viel, was?"",";;;;;
00:09:05:06,00:09:06:12,ERZAEHLER,1,speech,regular,HS,Forrest schaut Hancock an.,;;;;;
00:09:08:02,00:09:10:12,FORREST,1,non,regular,none,eeheeheeheeh,;;;;;
00:09:10:13,00:09:11:19,ERZAEHLER,1,speech,regular,HS,Hancock marschiert davon.,;;;;;
00:09:12:10,00:09:15:07,ERZAEHLER,1,speech,regular,HS,Die Mutter sitzt mit dem Buch 'Curious George' auf dem Bett von Forrest.,;;;;;
00:09:15:20,00:09:17:17,MRS. GUMP,1,speech,regular,HS,Am Ende musste er es versuchen.,;;;;;
00:09:18:01,00:09:19:14,MRS. GUMP,1,speech,regular,HS;"incomplete,""Es sah so leicht aus, aber..."",";;;;
00:09:20:24,00:09:21:12,MRS. GUMP,1,non,regular,none,oh,;;;;;
00:09:21:13,00:09:22:11,MRS. GUMP,1,speech,regular,question,Wie ging es weiter?,;;;;;
00:09:23:02,00:09:23:06,MRS. GUMP,1,speech,regular,incomplete,Zuerst kam...,;;;;;
00:09:23:07,00:09:23:22,FORREST (child),1,speech,regular,address,Mama,;;;;;
"00:09:24:00,00:09:25:16,FORREST (child),1,speech,asking,question,""Was bedeutet das, Ferien?"",";;;;;
00:09:26:16,00:09:27:12,MRS. GUMP,1,speech,asking,none,Ferien?,;;;;;
00:09:27:22,00:09:29:01,FORREST (child),1,speech,regular,HS,Wo Daddy hin ist.,;;;;;
00:09:31:16,00:09:33:17,MRS. GUMP,1,speech,regular,NS;"HS,""Wenn du in Ferien gehst, gehst du irgendwo hin…"",";;;;
00:09:36:15,00:09:37:18,MRS. GUMP,1,speech,regular;addendum,HS,..und kommst nie wieder zurück.,;;;;
00:09:38:00,00:09:40:02,ERZAEHLER,1,speech,regular,HS,Er blickt gedankenverloren zur Zimmerdecke.,;;;;;
00:09:40:10,00:10:17:18,OST,0,song,instrumental,instrumental,,;;;;;
00:09:43:01,00:09:43:05,FORREST (V.O.),1,non,regular,none,Na,;;;;;
00:09:43:10,00:09:46:09,FORREST (V.O.),1,speech,regular,HS;"NS,""Jedenfalls, so wies aussah, standen Mama und ich allein da."",";;;;
00:09:46:24,00:09:47:14,ERZAEHLER,1,speech,regular,HS,Es ist Tag.,;;;;;
00:09:47:24,00:09:49:06,FORREST (V.O.),1,speech,regular;addendum,HS,Aber das machte uns nichts.,;;;;
00:09:49:17,00:09:51:04,FORREST (V.O.),1,speech,regular,HS,Unser Haus war nie leer.,;;;;;
00:09:51:07,00:09:51:18,MRS. GUMP,0,non,regular,none,hahahahahahahaha,;;;;;
00:09:51:19,00:09:53:22,FORREST (V.O.),1,speech,regular,HS;"relativ,""Es gab immer Leute, die kamen und gingen."",";;;;
00:09:54:00,00:09:54:17,MRS. GUMP,1,speech,exclamation,none,Abendessen,;;;;;
00:09:55:05,00:09:56:05,MRS. GUMP,1,speech,exclamation,HS,Es gibt Abendessen.,;;;;;
"00:09:56:11,00:09:56:18,MAN WITH CANE,0,speech,exclamation,HS,""Meine Güte, das sieht aber lecker aus."",";;;;;
00:09:56:19,00:09:57:05,MRS. GUMP,1,speech,regular,address,Forrest,;;;;;
00:09:58:12,00:09:58:15,MRS. GUMP,0,speech,regular,address;imperative;"NS,""Herrschaften, kommen sie zum Essen, bevor die Fliegen alles..."",";;;
